LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
32.75,-120.75,KT,              0.59,              0.59,              0.61,              0.63,              0.59,              0.54,              0.47,              0.49,              0.54,              0.57,              0.61,              0.59,              0.57
32.75,-120.75,CLRSKY_SFC_SW_DWN,              4.00,              5.12,              6.53,              7.79,              8.52,              8.80,              8.55,              7.85,              6.80,              5.46,              4.26,              3.66,              6.45
32.75,-120.75,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-120.75,ALLSKY_SFC_SW_DWN,              3.25,              4.04,              5.20,              6.48,              6.60,              6.26,              5.36,              5.19,              4.88,              4.12,              3.57,              3.03,              4.83
32.75,-120.25,DNR,              5.47,              5.72,              6.40,              7.41,              6.63,              5.70,              4.29,              4.53,              5.08,              5.23,              5.91,              5.43,              5.65
32.75,-120.25,KT,              0.59,              0.59,              0.61,              0.63,              0.59,              0.54,              0.47,              0.49,              0.54,              0.57,              0.61,              0.59,              0.57
32.75,-120.25,CLRSKY_SFC_SW_DWN,              4.00,              5.12,              6.53,              7.79,              8.52,              8.80,              8.55,              7.85,              6.80,              5.46,              4.26,              3.66,              6.45
32.75,-120.25,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-120.25,ALLSKY_SFC_SW_DWN,              3.25,              4.04,              5.20,              6.48,              6.60,              6.26,              5.36,              5.19,              4.88,              4.12,              3.57,              3.03,              4.83
32.75,-119.75,DNR,              5.57,              5.86,              6.47,              7.46,              6.46,              5.38,              4.39,              4.58,              5.10,              5.15,              6.03,              5.57,              5.66
32.75,-119.75,KT,              0.60,              0.60,              0.61,              0.63,              0.58,              0.52,              0.48,              0.50,              0.55,              0.57,              0.61,              0.60,              0.57
32.75,-119.75,CLRSKY_SFC_SW_DWN,              4.00,              5.13,              6.53,              7.81,              8.56,              8.81,              8.55,              7.83,              6.80,              5.47,              4.27,              3.67,              6.45
32.75,-119.75,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-119.75,ALLSKY_SFC_SW_DWN,              3.28,              4.09,              5.23,              6.50,              6.51,              6.08,              5.42,              5.22,              4.89,              4.09,              3.61,              3.07,              4.83
33.25,-124.25,DNR,              4.68,              4.92,              5.74,              6.78,              6.62,              5.84,              4.66,              5.20,              5.15,              5.44,              5.16,              4.63,              5.40
33.25,-124.25,KT,              0.54,              0.55,              0.57,              0.60,              0.59,              0.56,              0.49,              0.53,              0.55,              0.57,              0.56,              0.54,              0.55
33.25,-124.25,CLRSKY_SFC_SW_DWN,              3.83,              4.94,              6.36,              7.64,              8.43,              8.72,              8.51,              7.81,              6.71,              5.31,              4.06,              3.50,              6.32
33.25,-124.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-124.25,ALLSKY_SFC_SW_DWN,              2.91,              3.66,              4.85,              6.14,              6.57,              6.33,              5.57,              5.53,              4.86,              4.13,              3.24,              2.70,              4.71
33.25,-123.75,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.25,-123.75,KT,              0.55,              0.55,              0.58,              0.61,              0.59,              0.56,              0.48,              0.52,              0.55,              0.57,              0.58,              0.55,              0.56
33.25,-123.75,CLRSKY_SFC_SW_DWN,              3.84,              4.94,              6.40,              7.66,              8.46,              8.72,              8.52,              7.84,              6.72,              5.31,              4.08,              3.51,              6.33
33.25,-123.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-123.75,ALLSKY_SFC_SW_DWN,              2.96,              3.69,              4.90,              6.19,              6.61,              6.42,              5.48,              5.50,              4.89,              4.13,              3.29,              2.74,              4.73
33.25,-123.25,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.25,-123.25,KT,              0.55,              0.55,              0.58,              0.61,              0.59,              0.56,              0.48,              0.52,              0.55,              0.57,              0.58,              0.55,              0.56
33.25,-123.25,CLRSKY_SFC_SW_DWN,              3.84,              4.94,              6.40,              7.66,              8.46,              8.72,              8.52,              7.84,              6.72,              5.31,              4.08,              3.51,              6.33
33.25,-123.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-123.25,ALLSKY_SFC_SW_DWN,              2.96,              3.69,              4.90,              6.19,              6.61,              6.42,              5.48,              5.50,              4.89,              4.13,              3.29,              2.74,              4.73
